kappa,mean_projection
0.0,0.0
0.1,0.033311132253990294
0.2,0.06648956343947265
0.30000000000000004,0.09940509698840794
0.4,0.1319324418321881
0.5,0.1639534137386529
0.6000000000000001,0.1953588547199996
0.7000000000000001,0.22605020723120095
0.8,0.25594070204370656
0.9,0.2849561419189006
1.0,0.31303528549933146
1.1,0.3401298554774034
1.2000000000000002,0.36620421085901733
1.3,0.391234734327107
1.4000000000000001,0.41520899217418217
1.5,0.4381247263158451
1.6,0.45998873615577773
1.7000000000000002,0.48081570338364554
1.8,0.5006270060589626
1.9000000000000001,0.5194495604404946
2.0,0.5373147207275482
2.1,0.5542572587995315
2.2,0.5703144386190164
2.3000000000000003,0.5855251934854742
2.4000000000000004,0.5999294089355863
2.5,0.6135673098126083
2.6,0.6264789468202068
2.7,0.6387037756297494
2.8000000000000003,0.6502803201882222
2.9000000000000004,0.661245911129537
3.0,0.671636489980356
3.1,0.6814864700394911
3.2,0.6908286452811245
3.3000000000000003,0.6996941392890441
3.4000000000000004,0.7081123869933722
3.5,0.7161111427921577
3.6,0.7237165094526156
3.7,0.730952982968909
3.8000000000000003,0.7378435092841169
3.9000000000000004,0.7444095494508405
4.0,0.7506711504016825
4.1000000000000005,0.7566470190261692
4.2,0.7623545977064925
4.3,0.7678101398548209
4.4,0.7730287843252339
4.5,0.7780246278496702
4.6000000000000005,0.7828107948758328
4.7,0.7873995043719791
4.800000000000001,0.7918021333146334
4.9,0.7960292766959041
5.0,0.8000908039820194
5.1000000000000005,0.8039959120281872
5.2,0.807753174510653
5.300000000000001,0.8113705879780901
5.4,0.8148556146539336
5.5,0.8182152221413015
5.6000000000000005,0.8214559201946752
5.7,0.8245837947291378
5.800000000000001,0.82760453924006
5.9,0.8305234838047391
6.0,0.8333456218335432
6.1000000000000005,0.8360756347323173
6.2,0.8387179146306957
6.300000000000001,0.8412765853230505
6.4,0.8437555215603878
6.5,0.8461583668228784
6.6000000000000005,0.8484885496940932
6.7,0.850749298949532
6.800000000000001,0.8529436574638258
6.9,0.8550744950331208
7.0,0.8571445202016783
7.1000000000000005,0.8591562911746604
7.2,0.861112225892471
7.300000000000001,0.8630146113358271
7.4,0.86486561212502
7.5,0.8666672784714948
7.6000000000000005,0.8684215535349789
7.7,0.8701302802348692
7.800000000000001,0.8717952075604343
7.9,0.8734179964205706
8.0,0.8750002250703748
8.1,0.8765433941485768
8.200000000000001,0.8780489313569834
8.3,0.879518195810391
8.4,0.880952482083013
8.5,0.8823530239752284
8.6,0.883720998022447
8.700000000000001,0.8850575267660342
8.8,0.8863636818045574
8.9,0.8876404866420815
9.0,0.888888919348849
9.1,0.890109915048396
9.200000000000001,0.8913043682440085
9.3,0.8924731349963503
9.4,0.8936170349631378
9.5,0.8947368533108563
9.600000000000001,0.8958333425076969
9.700000000000001,0.896907224006179
9.8,0.8979591898232292
9.9,0.8989899040248965
10.0,0.9000000041223074
